Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
raw-indigo-angled-seam-short,Raw Indigo Angled Seam Short,"<p>F/W 2025 Holiday Sale</p><ul><li>13.5 oz Kuroki Mills Denim</li><li>Gunmetal hardware</li><li>100% Cotton</li><li>Leather patch</li><li>Japanese fabric</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul><p>Justin is 5'11 and wearing size 30.</p>",Random Object Gallery,,Shorts,"denim, shorts, indigo, japanese-fabric, made-in-new-york",TRUE,Size,28,,,,,S3583878231,,shopify,1,deny,manual,161.50,,TRUE,TRUE,,raw-indigo-angled-seam-short-1.jpg,1,Raw Indigo Angled Seam Short,FALSE,Raw Indigo Angled Seam Short,"F/W 2025 Holiday Sale13.5 oz Kuroki Mills DenimGunmetal hardware100% CottonLeather patchJapanese fabricDry clean or handwash cool, hang dryMade in New YorkJustin is 5'11 and wearing size 30.",active
raw-indigo-angled-seam-short,,,,,,,,Size,30,,,,,U3636692191,,shopify,1,deny,manual,161.50,,TRUE,TRUE,,,,,,,,
raw-indigo-angled-seam-short,,,,,,,,Size,32,,,,,H2270389885,,shopify,1,deny,manual,161.50,,TRUE,TRUE,,,,,,,,
raw-indigo-angled-seam-short,,,,,,,,Size,34,,,,,V1992875846,,shopify,1,deny,manual,161.50,,TRUE,TRUE,,,,,,,,
raw-indigo-angled-seam-short,,,,,,,,Size,36,,,,,W1171182892,,shopify,1,deny,manual,161.50,,TRUE,TRUE,,,,,,,,
raw-indigo-angled-seam-short,,,,,,,,Size,38,,,,,X1736848654,,shopify,1,deny,manual,161.50,,TRUE,TRUE,,,,,,,,
raw-indigo-angled-seam-short,,,,,,,,Size,40,,,,,W2910050115,,shopify,0,deny,manual,161.50,,TRUE,TRUE,,,,,,,,
raw-indigo-angled-seam-short,,,,,,,,,,,,,,,,,,,,,,,,,raw-indigo-angled-seam-short-2.jpg,2,Raw Indigo Angled Seam Short,,,,
raw-indigo-angled-seam-short,,,,,,,,,,,,,,,,,,,,,,,,,raw-indigo-angled-seam-short-3.jpg,3,Raw Indigo Angled Seam Short,,,,
raw-indigo-angled-seam-short,,,,,,,,,,,,,,,,,,,,,,,,,raw-indigo-angled-seam-short-4.jpg,4,Raw Indigo Angled Seam Short,,,,
row-shirt,Row Shirt,"<p>F/W 2025 Holiday Sale</p><ul><li>Naturally textured, crumpled effect</li><li>Very soft and breathable</li><li>Mother of pearl buttons</li><li>100% Cotton</li><li>Japanese fabric</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul><p>Justin is 5'11 and wearing a M.</p>",Random Object Gallery,,Shirts,"shirt, linen, japanese-fabric, made-in-new-york",TRUE,Size,S,,,,,K1755397250,,shopify,1,deny,manual,140.00,,TRUE,TRUE,,row-shirt-1.jpg,1,Row Shirt,FALSE,Row Shirt,"F/W 2025 Holiday SaleNaturally textured, crumpled effectVery soft and breathableMother of pearl buttons100% CottonJapanese fabricDry clean or handwash cool, hang dryMade in New YorkJustin is 5'11 and wearing a M.",active
row-shirt,,,,,,,,Size,XXL,,,,,B4206129755,,shopify,0,deny,manual,140.00,,TRUE,TRUE,,,,,,,,
row-shirt,,,,,,,,,,,,,,,,,,,,,,,,,row-shirt-2.jpg,2,Row Shirt,,,,
row-shirt,,,,,,,,,,,,,,,,,,,,,,,,,row-shirt-3.jpg,3,Row Shirt,,,,
row-shirt,,,,,,,,,,,,,,,,,,,,,,,,,row-shirt-4.jpg,4,Row Shirt,,,,
natural-linen-summer-shirt,Natural Linen Summer Shirt,"<p>F/W 2025 Holiday Sale</p><ul><li>Summer shirt in linen</li><li>Dyed to mimic watercolor paints</li><li>Mother of pearl buttons</li><li>100% Cotton</li><li>Japanese fabric</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul><p>Justin is 5'11 and wearing an XL.</p>",Random Object Gallery,,Shirts,"shirt, linen, summer, japanese-fabric, made-in-new-york",TRUE,Size,L,,,,,G2316878904,,shopify,0,deny,manual,98.00,,TRUE,TRUE,,natural-linen-summer-shirt-1.jpg,1,Natural Linen Summer Shirt,FALSE,Natural Linen Summer Shirt,"F/W 2025 Holiday SaleSummer shirt in linenDyed to mimic watercolor paintsMother of pearl buttons100% CottonJapanese fabricDry clean or handwash cool, hang dryMade in New YorkJustin is 5'11 and wearing an XL.",active
natural-linen-summer-shirt,,,,,,,,Size,XL,,,,,Y3598381775,,shopify,1,deny,manual,140.00,,TRUE,TRUE,,,,,,,,
natural-linen-summer-shirt,,,,,,,,,,,,,,,,,,,,,,,,,natural-linen-summer-shirt-2.jpg,2,Natural Linen Summer Shirt,,,,
natural-linen-summer-shirt,,,,,,,,,,,,,,,,,,,,,,,,,natural-linen-summer-shirt-3.jpg,3,Natural Linen Summer Shirt,,,,
natural-linen-summer-shirt,,,,,,,,,,,,,,,,,,,,,,,,,natural-linen-summer-shirt-4.jpg,4,Natural Linen Summer Shirt,,,,
purple-linen-button-up,Purple Linen Button Up,"<p>F/W 2025 Holiday Sale</p><ul><li>Summer shirt in linen</li><li>Dyed to mimic watercolor paints</li><li>100% Cotton</li><li>Japanese fabric</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul><p>Justin is 5'11 and wearing an XL.</p>",Random Object Gallery,,Shirts,"shirt, linen, purple, japanese-fabric, made-in-new-york",TRUE,Size,L,,,,,Y0489482343,,shopify,1,deny,manual,140.00,,TRUE,TRUE,,purple-linen-button-up-1.jpg,1,Purple Linen Button Up,FALSE,Purple Linen Button Up,"F/W 2025 Holiday SaleSummer shirt in linenDyed to mimic watercolor paints100% CottonJapanese fabricDry clean or handwash cool, hang dryMade in New YorkJustin is 5'11 and wearing an XL.",active
purple-linen-button-up,,,,,,,,,,,,,,,,,,,,,,,,,purple-linen-button-up-2.jpg,2,Purple Linen Button Up,,,,
purple-linen-button-up,,,,,,,,,,,,,,,,,,,,,,,,,purple-linen-button-up-3.jpg,3,Purple Linen Button Up,,,,
purple-linen-button-up,,,,,,,,,,,,,,,,,,,,,,,,,purple-linen-button-up-4.jpg,4,Purple Linen Button Up,,,,
summer-paris-pop-up-tee,Summer Paris Pop Up Tee,"<p>Oversized fit — size down for normal fit.</p><ul><li>Printed on Hanes Beefy street tee</li><li>Heavyweight tee</li><li>Screenprinted in Richmond</li><li>100% Cotton</li><li>Handwash cool, hang dry</li></ul>",Random Object Gallery,,T-Shirts,"tee, paris, popup, cotton, screenprint",TRUE,Color,Black,Size,M,,,U3364644962,,shopify,0,deny,manual,20.00,,TRUE,TRUE,,summer-paris-pop-up-tee-1.jpg,1,Summer Paris Pop Up Tee,FALSE,Summer Paris Pop Up Tee,"Oversized fit — size down for normal fit.Printed on Hanes Beefy street teeHeavyweight teeScreenprinted in Richmond100% CottonHandwash cool, hang dry",active
summer-paris-pop-up-tee,,,,,,,,Color,Black,Size,L,,,N3160650825,,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,Color,Black,Size,XL,,,R4007852451,,shopify,2,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,Color,Black,Size,XXL,,,R0561098614,,shopify,1,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,Color,White,Size,M,,,T2733305772,,shopify,0,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,Color,White,Size,L,,,D1460888625,,shopify,1,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,Color,White,Size,XL,,,K3931043691,,shopify,3,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,Color,White,Size,XXL,,,Y1404634103,,shopify,1,deny,manual,20.00,,TRUE,TRUE,,,,,,,,
summer-paris-pop-up-tee,,,,,,,,,,,,,,,,,,,,,,,,,summer-paris-pop-up-tee-2.jpg,2,Summer Paris Pop Up Tee,,,,
summer-paris-pop-up-tee,,,,,,,,,,,,,,,,,,,,,,,,,summer-paris-pop-up-tee-3.jpg,3,Summer Paris Pop Up Tee,,,,
summer-paris-pop-up-tee,,,,,,,,,,,,,,,,,,,,,,,,,summer-paris-pop-up-tee-4.jpg,4,Summer Paris Pop Up Tee,,,,
teanna-trump,Teanna Trump Heavyweight Tank,"<ul><li>Heavy weight 3x1 rib knit</li><li>Sourced in LA</li><li>Men's size medium</li><li>98% Cotton, 2% Elastane</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul>",Random Object Gallery,,Tanks,"tank, rib-knit, made-in-new-york",TRUE,Size,M,,,,,F3619912916,,shopify,1,deny,manual,125.00,,TRUE,TRUE,,teanna-trump-1.jpg,1,Teanna Trump Heavyweight Tank,FALSE,Teanna Trump Heavyweight Tank,"Heavy weight 3x1 rib knitSourced in LAMen's size medium98% Cotton, 2% ElastaneDry clean or handwash cool, hang dryMade in New York",active
teanna-trump,,,,,,,,,,,,,,,,,,,,,,,,,teanna-trump-2.jpg,2,Teanna Trump Heavyweight Tank,,,,
shashiko-pajama-pant,Shashiko Pajama Pant,"<ul><li>Cotton canvas</li><li>Cropped fit</li><li>Elastic back waist</li><li>Hand-stitched shashiko throughout</li><li>100% Cotton</li><li>Japanese fabric</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul>",Random Object Gallery,,Pants,"pants, shashiko, japanese-fabric, made-in-new-york",TRUE,Size,28,,,,,L1212632562,,shopify,1,deny,manual,175.00,,TRUE,TRUE,,shashiko-pajama-pant-1.jpg,1,Shashiko Pajama Pant,FALSE,Shashiko Pajama Pant,"Cotton canvasCropped fitElastic back waistHand-stitched shashiko throughout100% CottonJapanese fabricDry clean or handwash cool, hang dryMade in New York",active
shashiko-pajama-pant,,,,,,,,Size,30,,,,,H0436701765,,shopify,0,deny,manual,175.00,,TRUE,TRUE,,,,,,,,
shashiko-pajama-pant,,,,,,,,Size,32,,,,,T4253998931,,shopify,2,deny,manual,175.00,,TRUE,TRUE,,,,,,,,
shashiko-pajama-pant,,,,,,,,Size,34,,,,,M2525011088,,shopify,1,deny,manual,175.00,,TRUE,TRUE,,,,,,,,
shashiko-pajama-pant,,,,,,,,Size,36,,,,,W0241328979,,shopify,0,deny,manual,175.00,,TRUE,TRUE,,,,,,,,
shashiko-pajama-pant,,,,,,,,,,,,,,,,,,,,,,,,,shashiko-pajama-pant-2.jpg,2,Shashiko Pajama Pant,,,,
shashiko-pajama-pant,,,,,,,,,,,,,,,,,,,,,,,,,shashiko-pajama-pant-3.jpg,3,Shashiko Pajama Pant,,,,
rosario-dawson-tank,Rosario Dawson Super Stretch Tank,"<ul><li>Heavy weight 3x1 rib knit</li><li>Sourced in LA</li><li>One size fits all</li><li>98% Cotton, 2% Elastane</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul>",Random Object Gallery,,Tanks,"tank, rib-knit, graphic, made-in-new-york",TRUE,,,,,,,B3688040722,,shopify,1,deny,manual,100.00,,TRUE,TRUE,,rosario-dawson-tank-1.jpg,1,Rosario Dawson Super Stretch Tank,FALSE,Rosario Dawson Super Stretch Tank,"Heavy weight 3x1 rib knitSourced in LAOne size fits all98% Cotton, 2% ElastaneDry clean or handwash cool, hang dryMade in New York",active
rosario-dawson-tank,,,,,,,,,,,,,,,,,,,,,,,,,rosario-dawson-tank-2.jpg,2,Rosario Dawson Super Stretch Tank,,,,
rosario-dawson-tank,,,,,,,,,,,,,,,,,,,,,,,,,rosario-dawson-tank-3.jpg,3,Rosario Dawson Super Stretch Tank,,,,
donyale-luna,Donyale Luna Super Stretch Tank,"<ul><li>Heavy weight 3x1 rib knit</li><li>Sourced in LA</li><li>One size fits all</li><li>98% Cotton, 2% Elastane</li><li>Dry clean or handwash cool, hang dry</li><li>Made in New York</li></ul>",Random Object Gallery,,Tanks,"tank, rib-knit, graphic, made-in-new-york",TRUE,,,,,,,A2640526657,,shopify,1,deny,manual,100.00,,TRUE,TRUE,,donyale-luna-1.jpg,1,Donyale Luna Super Stretch Tank,FALSE,Donyale Luna Super Stretch Tank,"Heavy weight 3x1 rib knitSourced in LAOne size fits all98% Cotton, 2% ElastaneDry clean or handwash cool, hang dryMade in New York",active
donyale-luna,,,,,,,,,,,,,,,,,,,,,,,,,donyale-luna-2.jpg,2,Donyale Luna Super Stretch Tank,,,,
donyale-luna,,,,,,,,,,,,,,,,,,,,,,,,,donyale-luna-3.jpg,3,Donyale Luna Super Stretch Tank,,,,
